1,2101589603,AKQJT,SF,Royal Flush,0.0015
2,973907377,KQJT9,SF,King-High Straight Flush,0.0015
3,447470957,QJT98,SF,Queen-High Straight Flush,0.0015
4,187649111,JT987,SF,Jack-High Straight Flush,0.0015
5,71177249,T9876,SF,Ten-High Straight Flush,0.0015
6,21662641,98765,SF,Nine-High Straight Flush,0.0015
7,5700695,87654,SF,Eight-High Straight Flush,0.0015
8,1006005,76543,SF,Seven-High Straight Flush,0.0015
9,154770,65432,SF,Six-High Straight Flush,0.0015
10,576870,5432A,SF,Five-High Straight Flush,0.0015
11,104553157,AAAAK,4K,Four Aces,0.0240
12,87598591,AAAAQ,4K,Four Aces,0.0240
13,81947069,AAAAJ,4K,Four Aces,0.0240
14,64992503,AAAAT,4K,Four Aces,0.0240
15,53689459,AAAA9,4K,Four Aces,0.0240
16,48037937,AAAA8,4K,Four Aces,0.0240
17,36734893,AAAA7,4K,Four Aces,0.0240
18,31083371,AAAA6,4K,Four Aces,0.0240
19,19780327,AAAA5,4K,Four Aces,0.0240
20,14128805,AAAA4,4K,Four Aces,0.0240
21,8477283,AAAA3,4K,Four Aces,0.0240
22,5651522,AAAA2,4K,Four Aces,0.0240
23,76840601,KKKKA,4K,Four Kings,0.0240
24,58098991,KKKKQ,4K,Four Kings,0.0240
25,54350669,KKKKJ,4K,Four Kings,0.0240
26,43105703,KKKKT,4K,Four Kings,0.0240
27,35609059,KKKK9,4K,Four Kings,0.0240
28,31860737,KKKK8,4K,Four Kings,0.0240
29,24364093,KKKK7,4K,Four Kings,0.0240
30,20615771,KKKK6,4K,Four Kings,0.0240
31,13119127,KKKK5,4K,Four Kings,0.0240
32,9370805,KKKK4,4K,Four Kings,0.0240
33,5622483,KKKK3,4K,Four Kings,0.0240
34,3748322,KKKK2,4K,Four Kings,0.0240
35,37864361,QQQQA,4K,Four Queens,0.0240
36,34170277,QQQQK,4K,Four Queens,0.0240
37,26782109,QQQQJ,4K,Four Queens,0.0240
38,21240983,QQQQT,4K,Four Queens,0.0240
39,17546899,QQQQ9,4K,Four Queens,0.0240
40,15699857,QQQQ8,4K,Four Queens,0.0240
41,12005773,QQQQ7,4K,Four Queens,0.0240
