AH,2
KH,3
QH,5
JH,7
TH,11
9H,13
8H,17
7H,19
6H,23
5H,29
4H,31
3H,37
2H,41
AD,43
KD,47
QD,53
JD,59
TD,61
9D,67
8D,71
7D,73
6D,79
5D,83
4D,89
3D,97
2D,101
AS,103
KS,107
QS,109
JS,113
TS,127
9S,131
8S,137
7S,139
6S,149
5S,151
4S,157
3S,163
2S,167
AC,173
KC,179
QC,181
JC,191
TC,193
9C,197
8C,199
7C,211
6C,223
5C,227
4C,229
3C,233
2C,239
